#LondonShooting,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,datetime,has_media,is_reply,is_retweet,medias,nbr_favorite,nbr_reply,nbr_retweet,text,url,user_id,usernameTweet
1.20044E+18,29-11-2019 21:14,,FALSE,FALSE,,7,1,1,Thank you @metpoliceuk  for looking after us. #LondonShooting  #Londonbridge pic.twitter.com/PYvPXeIeCU,/MiddletonBen/status/1200440333286477825,588496029,MiddletonBen
1.20044E+18,29-11-2019 21:14,,FALSE,FALSE,,0,0,0,https://www. bbc.co.uk/news/live/uk-5 0601491   …  shots fired on #londonbridge  #LondonShooting,/MikeJSilver76/status/1200440378685558785,7.49628E+17,MikeJSilver76
1.20044E+18,29-11-2019 21:14,,FALSE,FALSE,,5,1,0,"Heroes dont all wear capes. Brave members of the public have probably saved the lives today of Mums, Dads, daughters, sons, sisters and brothers. I salute them all #london  bridge #LondonShooting  #london",/Toffeeman2010/status/1200440410193244161,20100384,Toffeeman2010
1.20044E+18,29-11-2019 21:14,,FALSE,FALSE,,8,0,10,"BREAKING: London Bridge shooting - The moment armed police confront knifeman in 'terror incident'.

#LondonShooting   pic.twitter.com/D4Vn47aLts",/MarquessBraith1/status/1200440477419474944,1.14375E+18,MarquessBraith1
1.20044E+18,29-11-2019 21:14,,FALSE,FALSE,,14,1,0,"Fair play to all the members of the public that helped disable the terrorist on london bridge,you bastards may try but our will is greater than yours,you dont scare us,your actions only unite us #LondonShooting",/trimdonsmoggie/status/1200440483388043265,200505985,trimdonsmoggie
1.20044E+18,29-11-2019 21:14,,FALSE,FALSE,,4275,73,552,"The guy who held that cunt down on London Bridge should never have to buy a pint again!!
#TopMan 
#LondonShooting",/Whosyourdaddy19/status/1200440496277065728,291782565,Whosyourdaddy19
1.20044E+18,29-11-2019 21:14,,FALSE,FALSE,,2,1,0,Thought that @SadiqKhan  banned knives in @MayorofLondon ? He’s allowed these attacks to flourish in @CityPolice  You’d have to be crazy to vacation there with him in office! #LondonShooting  #LondonBridge  #LiberalismIsAMentalDisorder https:// twitter.com/watchmyshaw/st atus/1200434605418897411   …,/PittGasMan/status/1200440529466646529,250717601,PittGasMan
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,1,1,0,The grief I'm getting off my 16 year old as she was meant to be going Tate Modern tonight just has to be seen to be believed. #LondonShooting,/wallplate1965/status/1200440544922669056,204852930,wallplate1965
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,0,0,0,"Well done to brave public stopping this fucking low life scum and bravo to the police shooter taking him down instantly once the hero was able to move away
#London  #LondonShooting   https:// twitter.com/Paigey_Cakey/s tatus/1200432915609538560   …",/jimmygreen83/status/1200440546092896256,1131802322,jimmygreen83
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,2,0,0,# LondonShooting  #londonbridge  yep....it’s ALL Corbyn’s fault..... pic.twitter.com/J2wSuf8cvv,/Gava471/status/1200440555924283394,45323181,Gava471
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,5,0,0,More madness at #LondonShooting  #LondonBridge . You'd never know it was just down the river from this peaceful place. pic.twitter.com/Z5nXFoGgCQ,/IainHouten/status/1200440561636904961,72271128,IainHouten
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,0,2,0,Just before our friend with a beard is shot. Looks like another #muslim  attack on the UK. #LondonShooting  #LondonBridge pic.twitter.com/H6dXO6wspY,/_Wolf359_/status/1200440583828971520,1.15553E+18,_Wolf359_
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,0,1,0,Why did both Johnsons and Corbyn's tweets state the time 7.09am and 7.39am on BBC News #LondonShooting   #LondonBridge ??,/MissyEmjo/status/1200440603508695041,4274722055,MissyEmjo
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,0,0,0,"Terror threat downgraded a few weeks ago, now this!! #LondonShooting",/lisasm511/status/1200440643090337794,9.34766E+17,lisasm511
1.20044E+18,29-11-2019 21:15,,TRUE,FALSE,,442,70,30,And you want to open the floodgates to more !!! Well done to the copper taking him out. In 20 yrs he'll probably get chased for prosecution #LondonShooting,/shburyblue/status/1200440662375706625,319612371,shburyblue
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,2,2,0,# londonbridge  is it terrorism or drugs deal gone wrong ? #LondonShooting   pic.twitter.com/g9JM3dPOi7,/HardTruth6/status/1200440662530953216,8.2607E+17,HardTruth6
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,9,0,1,"The London Bridge suspect tried to kill someone. He deserves no sympathy for being shot by the police.

#LondonShooting  #londonbridge",/Ayame_JPN/status/1200440668264574976,1.01277E+18,Ayame_JPN
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,0,0,0,"The London bridge story is still developing

Just everyone please stay safe out there  

#LondonShooting",/realJTWilkinson/status/1200440730315046912,8.70248E+17,realJTWilkinson
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,1,0,0,Hearing about gun shots on London Bridge I hope to god no one is seriously injured #LondonShooting,/doey90/status/1200440731258761217,1.1407E+18,doey90
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,0,0,0,Terrible scenes in #London  stay safe #LondonShooting,/GregMilbrodt/status/1200440753933242369,203042375,GregMilbrodt
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,0,0,0,"@00o00oooo thanks for the laugh you simpleton  

#LondonShooting  #London  #uk pic.twitter.com/te6PGGbbON",/Villain1982/status/1200440772966961154,2418922083,Villain1982
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,4,1,1,Hats off to the brave officers of the @metpoliceuk  and the civilians on the bridge that have helped bring the suspected terrorist under control! #LondonShooting  #londonbridge,/abraham9176/status/1200440776741806080,35235693,abraham9176
1.20044E+18,29-11-2019 21:15,,FALSE,FALSE,,5,0,1,"HOOOORAY!  At last!  Shoot to kill the scum!  

Can you please get the gangs next.

#LondonShooting  #LondonBridge https:// twitter.com/metpoliceuk/st atus/1200434865889579008   …",/CharlotteBCcat1/status/1200440779082272770,1.02608E+18,CharlotteBCcat1
1.20044E+18,29-11-2019 21:16,,TRUE,FALSE,,1,1,0,Again a gun free city and it's citizens are left dead or waiting for police response and even if they have guns themselves!! #LondonShooting  #London,/JohnWright1952/status/1200440796337647616,415083072,JohnWright1952
